OLD OI,Lot,Top-3,O-Cost,Cost,O-Avg,Symbol,D.QTY,QTY,% Top-3,% O-Cost,% Cost,% Avg,Current,Diff
5833,300,2413.3489596183895,2393.5169333829544,2404.3310528316224,2480.2984749455336,BALKRISIND,0.0,0.0,0.04800426391711263,0.004518087713456644,0.05193500579769042,0.019715984002909196,2529.2,2529.2,False
7485,1600,422.8281793108659,402.8439737548699,412.2094423599304,439.1968823484791,BALRAMCHIN,0.0,0.0,-0.005860960626855232,0.02324837707702523,0.019748595746531955,-0.04291214966668433,420.35,420.35,False
30807,2500,238.86693485653325,236.85884983641984,237.1378651488852,239.55711125569292,BANDHANBNK,0.0,0.0,0.02797819274350677,0.0011779813701622538,0.03547360454574945,0.025016534524456444,245.55,245.55,False
17388,5850,202.7488846929355,197.02737825125573,198.60512208367825,212.0822310468087,BANKBARODA,0.0,0.0,0.022200444228738805,0.008007739058530926,0.04352797060631398,-0.022784704889973383,207.25,207.25,False
107764,15,44986.71124582506,44961.84134842204,45022.796110183954,46050.6435590109,BANKNIFTY,0.0,0.0,-0.00505618747238769,0.0013556998542288699,-0.0058536149007489295,-0.028042899277967014,44759.25,44759.25,False
3833,375,1699.5460992907801,1697.3272016351195,1695.6602977772156,1664.4754779717373,BATAINDIA,0.0,0.0,-0.028652414495317954,-0.0009820757343063132,-0.026426459259532145,-0.008186049089975684,1650.85,1650.85,False
12592,5700,138.28144393453644,137.94718506491014,137.91889589768283,137.33202200334583,BEL,0.0,0.0,-0.02119911284643669,-0.00020507245011199395,-0.018626134446353235,-0.014432336860936515,135.35,135.35,False
7533,1320,705.067338469635,704.1344263546656,703.8770524258431,701.9389148401006,BERGEPAINT,0.0,0.0,-0.16064754710590406,-0.00036551817265199335,-0.15922816639579396,-0.156906694459574,591.8,591.8,False
8651,1000,1068.118335075797,1072.8947736216853,1075.5338955673064,1107.8924464487036,BHARATFORG,0.0,0.0,0.03078466481138503,0.002459814336416659,0.023677640042447084,-0.006221223432650889,1101,1101,False
44918,950,865.2201427024538,873.5128053740702,875.6113201842672,912.4780928536438,BHARTIARTL,0.0,0.0,0.06192627130731521,0.0024023858577532147,0.0493240309029398,0.006928283753734044,918.8,918.8,False
7391,10500,130.0119069065205,129.45374108339428,129.60288154703983,130.9034826946291,BHEL,0.0,0.0,-0.03970333971204613,0.0011520753467408474,-0.03667265334154441,-0.04624386280654305,124.85,124.85,False
11456,2500,269.25810188232197,266.24628928747734,266.780193980448,274.5329749103942,BIOCON,0.0,0.0,-0.006900820697065094,0.002005303789958929,0.0023232834878191277,-0.025982215479661036,267.4,267.4,False
2052,50,19145.776187636657,18975.824939215006,19027.611731843575,19576.963890935887,BOSCHLTD,0.0,0.0,0.004924000544006134,0.0027290930852522538,0.011164736339500703,-0.01720971100589703,19240.05,19240.05,False
14874,1800,353.40996711943103,354.6202160729756,354.98430869420986,359.5127928841562,BPCL,0.0,0.0,0.007611649729335237,0.001026711407674864,0.0031429313309486086,-0.009492827381127127,356.1,356.1,False
10201,200,4570.371495995423,4549.8404316779515,4553.247245398382,4591.738903394256,BRITANNIA,0.0,0.0,-0.0027068906775440742,0.0007487765277899984,0.0010438164996248232,-0.007347739953009138,4558,4558,False
4235,2000,507.73880733944947,507.234433150899,507.25554223250873,507.4292331446217,BSOFT,0.0,0.0,-0.031194793682296638,4.161602649606156e-05,-0.030271807706480008,-0.0306037416259693,491.9,491.9,False
21554,2700,356.1881812545621,341.5342035319761,343.1898299405867,365.66996993907804,CANBK,0.0,0.0,0.022914344649759177,0.00484761523586493,0.06165733426039043,-0.0036097302146466466,364.35,364.35,False
4260,975,776.0507498014882,769.414006653901,769.9657975377754,782.6062626959488,CANFINHOME,0.0,0.0,-0.021198033512236487,0.0007171573159606561,-0.013462672719909788,-0.029396982611276313,759.6,759.6,False
6837,1900,287.54533555496005,283.0213134012367,283.2558465306417,286.5445535593067,CHAMBLFERT,0.0,0.0,-0.027979363808606453,0.000828676563565066,-0.01325955519239528,-0.02458449644846819,279.5,279.5,False
10426,1250,1167.9099886994545,1128.0651265126514,1134.4707272199091,1189.0053738676493,CHOLAFIN,0.0,0.0,0.01895695003447981,0.005678396181841235,0.04899136790976642,0.0008785714138134464,1190.05,1190.05,False
15895,650,1247.403958251416,1247.7772030287827,1246.8630029804033,1236.4756265044227,CIPLA,0.0,0.0,-0.030666856553060427,-0.0007326628873810919,-0.030246308447886408,-0.02209960788444616,1209.15,1209.15,False
19168,4200,266.8511657909329,258.29560740200367,258.9714995060545,279.72992181947404,COALINDIA,0.0,0.0,0.05077299988144719,0.002616738669500069,0.0827446284043488,0.002395446923115984,280.4,280.4,False
9737,150,5316.866711170449,5337.966220312569,5341.862247934671,5495.0904144663145,COFORGE,0.0,0.0,0.006363388564635057,0.0007298711646538301,0.0016544327905021149,-0.026276258182430286,5350.7,5350.7,False
7034,350,1987.6221081479625,1980.6354966498754,1977.8977628584948,1945.8459776696247,COLPAL,0.0,0.0,0.003057870923814991,-0.001382250189906884,0.007989410493425865,0.024592913765808955,1993.7,1993.7,False
7266,1000,719.8568180643829,700.4977180705409,701.9800084979818,716.5629749021414,CONCOR,0.0,0.0,0.028260039253802976,0.0021160531850462957,0.054445982847570164,0.032986668200497934,740.2,740.2,False
2183,700,1116.4079536542793,1114.2332727379348,1114.9518463574036,1131.0329958755158,COROMANDEL,0.0,0.0,-0.023788753535254382,0.0006449041121371875,-0.022513838996197487,-0.03641184300165949,1089.85,1089.85,False
6515,1800,311.97393519564287,308.03585091632004,307.7700805438558,304.6503510216889,CROMPTON,0.0,0.0,-0.0345347286429118,-0.000862790391682228,-0.021347365969576725,-0.011325609867566713,301.2,301.2,False
7580,5000,129.25434360853632,128.9366497644694,129.09760515194205,132.78707015130672,CUB,0.0,0.0,0.0011268974596693496,0.0012483292203316443,0.002342373800831182,-0.02550752981782982,129.4,129.4,False
9973,600,1709.8497980668876,1723.3536817116028,1723.3819514502793,1724.473803071364,CUMMINSIND,0.0,0.0,0.019007635623816892,1.6403909990445155e-05,0.011006294068333724,0.01036617482782143,1742.35,1742.35,False
