Timestamp,OLD OI,Lot,Top-3,O-Cost,Cost,O-Avg,Symbol,D.QTY,QTY,% Top-3,% O-Cost,% Cost,% Avg,Current,Diff,Actionable
2023-09-22 13:58:15,1951.0,1000,514.6380638063806,518.8979813327545,517.4357906176418,510.0656455142232,AARTIIND,0.9005638134290108,1757.0,-0.015638298781973727,-0.002817877054285594,-0.020960650218446775,-0.006814114114114186,506.59,506.59,
2023-09-22 13:58:15,388.0,250,4393.5187165775405,4462.4316423043865,4418.904046242775,4329.622574955909,ABB,2.4278350515463916,942.0,-0.03722954814335179,-0.00975423256884542,-0.04276038679849482,-0.023021077063957274,4229.95,4229.95,
2023-09-22 13:58:15,157.0,40,23321.075085324235,23372.544642857145,23321.565315315314,23162.962962962964,ABBOTINDIA,0.6496815286624203,102.0,-0.026266159818237145,-0.002181162912332282,-0.026286628149814882,-0.01961937959705789,22708.52,22708.52,
2023-09-22 13:58:15,908.0,5400,182.49782886334611,185.48838884651244,183.70278008682,178.9592480018012,ABCAPITAL,0.8403083700440529,763.0,-0.02442675012141724,-0.00962652579385966,-0.03082577239246857,-0.00513663312773842,178.04,178.04,
2023-09-22 13:58:15,1953.0,2600,223.3933099867166,227.2807667605355,225.41852037887486,220.4789673699384,ABFRL,0.9400921658986175,1836.0,-0.03108110080435919,-0.008193594241182382,-0.03978608485141737,-0.01827370391833462,216.45,216.45,
2023-09-22 13:58:15,1123.0,300,2013.6875466070098,2041.7206623470122,2032.9619077767227,2008.9375987361768,ACC,0.7951914514692787,893.0,-0.008480733088797703,-0.004289888784404567,-0.017881253769519847,-0.006136377129848244,1996.61,1996.61,
2023-09-22 13:58:15,3326.0,300,2533.6561125769567,2560.1410896461907,2543.4503284072243,2502.743956237868,ADANIENT,0.5039085989176187,1676.0,-0.014341375057406455,-0.00651946930052712,-0.018136909493377918,-0.002167203810181716,2497.32,2497.32,
2023-09-22 13:58:15,5131.0,800,847.3108769288671,858.3101991550997,852.4865738925913,841.6926733780762,ADANIPORTS,0.6201520171506529,3182.0,-0.009017796344786642,-0.006784989003091187,-0.015034341050169042,-0.002403102037182223,839.67,839.67,
2023-09-22 13:58:15,258.0,200,3742.703349282297,3720.683085501859,3717.409282700422,3685.091743119266,ALKEM,2.7170542635658914,701.0,-0.03792268209274836,-0.0008798929460543679,-0.0313764974018928,-0.022881857222879207,3600.77,3600.77,
2023-09-22 13:58:15,2866.0,1800,434.2336610757663,443.69511236837974,439.4740571525266,430.78870779976717,AMBUJACEM,1.0596650383810189,3037.0,-0.02338294329972422,-0.009513413824465555,-0.03502836379528054,-0.015573081834088894,424.08,424.08,
2023-09-22 13:58:15,821.0,125,5060.949818934299,5087.13200257566,5082.922509225093,5051.568345323742,APOLLOHOSP,1.7697929354445798,1453.0,-0.006593588185651338,-0.000827478694957483,-0.010887930934349394,-0.004748692620569567,5027.58,5027.58,
2023-09-22 13:58:15,1369.0,1700,376.5366512589966,381.34421595936425,378.035261901624,369.7354225533008,APOLLOTYRE,0.9926953981008035,1359.0,-0.012738869491079774,-0.008677079444920348,-0.016652578571525394,0.005421653767594414,371.74,371.74,
2023-09-22 13:58:15,1684.0,5000,182.35382574082266,183.07694723618093,182.75135398877774,181.61836065573775,ASHOKLEY,0.5338479809976246,899.0,-0.009124161415661414,-0.001778450276337385,-0.011279555219625467,-0.005111601340227267,180.69,180.69,
2023-09-22 13:58:15,1912.0,200,3244.439875212706,3255.6188586545727,3253.8873091888654,3247.2949640287766,ASIANPAINT,1.5638075313807531,2990.0,0.011120602068462968,-0.0005318649205831449,0.008184884195566572,0.010231603947059542,3280.52,3280.52,
2023-09-22 13:58:00,758.0,367,1902.3022548671167,1914.5494435328792,1910.8911192352925,1894.264431715609,ASTRAL,2.4828496042216357,1882.0,-0.016912272897118545,-0.0019108016823195897,-0.02133094807181079,-0.012740793371573038,1870.13,1870.13,
2023-09-22 13:58:15,684.0,75,7186.592661116249,7276.6808109382355,7248.956228956228,7142.427536231885,ATUL,0.8260233918128655,565.0,-0.015111843155359832,-0.0038100588307146814,-0.023584944308712663,-0.009021797687832098,7077.99,7077.99,
2023-09-22 13:58:15,1696.0,1000,739.4913708086785,732.8543566362715,735.5610990600144,742.3074494949494,AUBANK,0.6568396226415094,1114.0,0.004609423890361149,0.003693424756545823,0.009977282579739595,0.0007982548275026912,742.9,742.9,
2023-09-22 13:58:15,539.0,1100,897.4001200560261,897.0492880613364,896.0670459017567,891.6933281310963,AUROPHARMA,5.495361781076067,2962.0,-0.02754637480378638,-0.0010949701121801458,-0.0260996607438244,-0.021322721087244756,872.68,872.68,
2023-09-22 13:58:14,3797.0,625,1033.8083161794978,1031.3807238714926,1030.1850412249705,1027.0471718249732,AXISBANK,1.0215959968396102,3879.0,-0.0038869064183462195,-0.0011593028828712645,-0.0003834662795150085,0.0026705961033444544,1029.79,1029.79,
2023-09-22 13:58:15,549.0,250,5155.829745596869,5122.668677727502,5132.3488721804515,5161.043219076006,BAJAJ-AUTO,1.5245901639344261,837.0,-0.012605099237881235,0.0018896780295469067,-0.008087694974409745,-0.013602524934595336,5090.84,5090.84,
2023-09-22 13:58:15,3130.0,500,1551.4282208588954,1563.945613134941,1554.6029821399313,1538.087074829932,BAJAJFINSV,0.544408945686901,1704.0,0.0027534494240021566,-0.005973756962227229,0.0007056578899383418,0.011451188595428265,1555.7,1555.7,
